scorer,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000
bodyparts,head,head,head,neck,neck,neck,mid,mid,mid,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
34,249.36151552200317,358.4178020954132,0.9999984502792358,276.6287966966629,380.3941681981087,0.9999990463256836,289.2481269836426,394.2632930278778,0.9999922513961792,302.48480701446533,406.4282178878784,0.9997836947441101
35,248.98982620239258,356.4987465441227,0.9999997615814209,276.50082862377167,380.6369603872299,0.9999992847442627,288.1328773498535,394.0929754972458,0.9999914169311523,301.1690180301666,405.66336250305176,0.999835729598999
36,249.84192371368408,355.1930474638939,0.9999988079071045,276.2901965081692,380.44262048602104,0.9999992847442627,287.5559334754944,394.2104951143265,0.9999841451644897,301.16695606708527,405.48702013492584,0.9996844530105591
37,252.6111466884613,354.5465109348297,0.9999990463256836,276.8984960913658,380.58076322078705,0.999998927116394,287.3538556098938,393.8888690471649,0.9999786615371704,301.1776547431946,406.13011860847473,0.9996412992477417
38,253.49332332611084,351.6472508907318,0.9999947547912598,277.960617184639,380.5937268137932,0.9999985694885254,287.462842464447,393.7143590450287,0.9999816417694092,301.3665360212326,405.22266685962677,0.9996473789215088
39,254.98477363586426,351.15189266204834,0.9999982118606567,277.6430220603943,380.4935925602913,0.999998927116394,287.7241406440735,394.0020282268524,0.9999830722808838,301.5274968147278,404.8447653055191,0.9997175335884094
40,256.13873410224915,350.82988119125366,0.9999995231628418,278.8617625236511,380.06903244554996,0.9999982118606567,287.7388963699341,394.0887757539749,0.9999747276306152,303.0186405181885,406.2363648414612,0.9995303153991699
41,257.0411603450775,351.26519751548767,0.9999997615814209,279.4596416950226,380.12115382403135,0.9999979734420776,288.0898959636688,393.8087077140808,0.9999772310256958,300.630377471447,405.3037097454071,0.9990192651748657
42,258.1729612350464,350.61521220207214,0.9999997615814209,280.3421034812927,380.1187650933862,0.9999979734420776,288.9551305770874,394.4692630767822,0.9999845027923584,302.6246542930603,405.93270993232727,0.9991770386695862
43,259.4440603852272,350.021075963974,0.9999998807907104,280.18998289108276,379.9217048957944,0.9999972581863403,288.56171703338623,394.3034130334854,0.9999850988388062,302.2460312843323,404.96239602565765,0.9992703795433044
44,259.70127379894257,346.95118045806885,0.9999997615814209,281.0736699104309,380.3049912750721,0.9999955892562866,288.99231815338135,394.65156865119934,0.999981164932251,301.0955910682678,404.7277345061302,0.9991562366485596
45,260.63103061914444,346.707106590271,0.9999996423721313,281.21706533432007,380.1164081990719,0.9999918937683105,288.9610857963562,394.7381309270859,0.9999828338623047,301.0957864522934,404.1791790872812,0.9992486834526062
46,261.67318975925446,346.08813524246216,0.9999990463256836,280.5098056793213,376.38330602645874,0.9999921321868896,289.1617593765259,394.8371719121933,0.9999864101409912,301.00949251651764,404.4341881275177,0.999411940574646
47,263.594598531723,349.8407483100891,0.9999985694885254,285.50324618816376,383.97496795654297,0.9999899864196777,288.9779624938965,395.1262245774269,0.9999833106994629,300.70771634578705,404.5590788125992,0.9996415376663208
